Country,ISO3,Year,proj_le_baseline,proj_le_lo80,proj_le_hi80
Colombia,COL,2024,73.60204092100216,71.6,75.3
Colombia,COL,2025,73.62099817436733,71.99,75.3
Colombia,COL,2026,73.56157916028798,71.9,74.96749999999999
Colombia,COL,2027,73.36555984088353,71.8257142857143,74.6
Colombia,COL,2028,73.26034629880509,71.8,74.45357142857144
Colombia,COL,2029,73.00945974966399,71.8,74.0
Colombia,COL,2030,72.92901371791795,71.8,73.7
Comoros,COM,2022,68.85059722222229,67.2,70.41000000000001
Comoros,COM,2023,69.41133365800873,67.7,71.7
Comoros,COM,2024,69.43138365800873,67.7,71.7
Comoros,COM,2025,69.15320039682548,67.2,71.7
Comoros,COM,2026,68.14410880952393,66.28999999999999,69.81
Comoros,COM,2027,67.88383232950635,66.0,69.2
Comoros,COM,2028,67.90583232950632,66.08999999999999,69.2
Comoros,COM,2029,67.8250238095239,66.08999999999999,69.2
Comoros,COM,2030,67.65269047619053,66.0,69.2
Congo,COG,2022,62.8742333333333,62.2,63.6
Congo,COG,2023,62.950899999999976,62.49,63.910000000000004
Congo,COG,2024,63.13339999999995,62.6,64.01
Congo,COG,2025,63.29456666666664,62.6,64.7
Congo,COG,2026,63.56983333333332,62.6,64.91000000000001
Congo,COG,2027,63.62716666666672,62.6,64.8
Congo,COG,2028,63.89597777777783,62.8,65.1
Congo,COG,2029,64.20114103313844,62.8,65.4
Congo,COG,2030,64.50814103313847,63.2,65.71000000000001
"Congo, The Democratic Republic of the",COD,2022,62.01648849206353,61.7,62.3
"Congo, The Democratic Republic of the",COD,2023,62.383426587301656,62.0,63.085
"Congo, The Democratic Republic of the",COD,2024,63.02250638401559,62.5,63.6
"Congo, The Democratic Republic of the",COD,2025,63.29987525252533,63.0,63.650000000000006
"Congo, The Democratic Republic of the",COD,2026,63.85925422077922,63.2,64.3
"Congo, The Democratic Republic of the",COD,2027,64.21035648148158,63.5,65.0
"Congo, The Democratic Republic of the",COD,2028,64.59069074074084,63.7,65.21000000000001
"Congo, The Democratic Republic of the",COD,2029,65.180849928775,64.4,65.8
"Congo, The Democratic Republic of the",COD,2030,65.52912976190481,64.7,66.0
Cook Islands,COK,2022,71.68683611111129,70.8,72.51
Cook Islands,COK,2023,71.69558762626266,70.7,73.6
Cook Islands,COK,2024,71.70025429292933,70.7,73.7
Cook Islands,COK,2025,71.656920959596,70.7,73.7
Cook Islands,COK,2026,71.64225429292934,70.7,73.7
Cook Islands,COK,2027,71.50395058922567,70.5,73.61
Cook Islands,COK,2028,71.45029536944543,70.5,73.61
Cook Islands,COK,2029,71.36743644688644,70.42076923076922,73.6
Cook Islands,COK,2030,71.26726184371182,70.4,73.01
Costa Rica,CRI,2022,77.41984868464868,75.2,78.5
Costa Rica,CRI,2023,77.18478201798204,74.6,78.5
Costa Rica,CRI,2024,76.68549422142974,73.73333333333333,78.5
Costa Rica,CRI,2025,74.14237261393498,72.67361111111111,76.205
Costa Rica,CRI,2026,74.05146150282384,72.65499999999999,75.90666666666668
Costa Rica,CRI,2027,73.97568921030151,72.4,75.9
Costa Rica,CRI,2028,73.86814057403211,72.39,75.8
Costa Rica,CRI,2029,73.60577184866904,72.3,75.3
Costa Rica,CRI,2030,73.55692120382025,72.3,75.10739130434783
