ISO3,Country,avg_life_expectancy,avg_gdp_per_capita,avg_u5_mortality,avg_infant_deaths
POL,Poland,75.96818181818182,11133.639755780187,6.209090909090909,2035.2272727272727
IRN,"Iran, Islamic Republic of",75.89545454545454,4886.704667978381,21.086363636363636,23390.045454545456
BRB,Barbados,75.72727272727273,21204.142214018848,13.436363636363637,42.63636363636363
COL,Colombia,75.64999999999999,5327.838412346975,18.363636363636363,12659.136363636364
ARG,Argentina,75.64090909090909,12246.132442801714,14.213636363636363,8724.136363636364
ATG,Antigua and Barbuda,75.54545454545455,16836.192728775437,12.077272727272726,11.954545454545455
SVK,Slovakia,75.41818181818182,14241.69526241494,7.222727272727273,334.54545454545456
MNE,Montenegro,75.33181818181818,5870.770696242221,7.277272727272727,53.54545454545455
EST,Estonia,75.20454545454545,16172.497913230263,5.263636363636364,57.40909090909091
LCA,Saint Lucia,75.09545454545454,9995.665491205482,17.672727272727272,37.90909090909091
ECU,Ecuador,75.07727272727273,5169.696209663311,19.59090909090909,5154.227272727273
DZA,Algeria,74.91363636363636,4342.583505756594,29.495454545454546,20853.590909090908
MEX,Mexico,74.89545454545454,9683.301201034776,19.427272727272726,37705.63636363636
LKA,Sri Lanka,74.8,3199.1699989272925,12.218181818181819,3461.9545454545455
THA,Thailand,74.8,5068.02143399783,14.586363636363636,10413.59090909091
PRY,Paraguay,74.77727272727272,5138.2148776459635,25.7,2979.9545454545455
CHN,China,74.62272727272727,6225.923750467121,17.64090909090909,236501.67181818179
MDV,Maldives,74.56363636363636,8785.98746313988,16.604545454545455,88.36363636363636
MKD,North Macedonia,74.46818181818182,4569.466054826542,11.163636363636364,249.4090909090909
SAU,Saudi Arabia,74.43636363636364,22455.026195596143,12.736363636363636,5311.954545454545
HUN,Hungary,74.35454545454546,12059.793807897811,6.290909090909091,503.90909090909093
QAT,Qatar,74.23636363636363,63861.383372760465,9.068181818181818,133.9090909090909
MYS,Malaysia,74.21363636363637,8484.94859091754,8.35,3261.590909090909
SRB,Serbia,74.02272727272727,5506.177297472369,7.895454545454545,472.09090909090907
VEN,"Venezuela, Bolivarian Republic of",73.80909090909091,3582.980160926425,20.136363636363637,9595.636363636364
BRA,Brazil,73.65454545454546,8227.31309655576,20.695454545454545,54597.63636363636
CPV,Cabo Verde,73.64090909090909,3064.478513725647,23.818181818181817,215.1818181818182
SLV,El Salvador,73.57727272727273,3520.026431385442,19.318181818181817,2089.0
