Country,ISO3,Year,y_true,y_pred,Residual,Cooks_D
Russian Federation,RUS,2021,70.0,71.11122222222214,-1.111222222222139,0.0015814264548654937
Burundi,BDI,2019,64.3,64.93349629629638,-0.6334962962963857,0.0015459801947492744
France,FRA,2019,82.5,81.6196245791247,0.8803754208752963,0.0015284402053926712
Georgia,GEO,2020,73.1,73.40114598053877,-0.3011459805387773,0.0015261478708517434
Saudi Arabia,SAU,2020,76.1,77.32286904761906,-1.2228690476190707,0.0015259707022588205
Bangladesh,BGD,2020,73.3,73.1077895098911,0.19221049010889146,0.0015234834429975316
Singapore,SGP,2020,82.8,82.67778666666634,0.12221333333366147,0.0015195556204391657
Costa Rica,CRI,2018,80.3,79.59283893513893,0.7071610648610687,0.0015037495246759854
Belize,BLZ,2019,74.9,73.74777247817431,1.1522275218256937,0.0014920087989920168
Pakistan,PAK,2019,67.0,67.0311111111111,-0.031111111111101764,0.001491620317681703
Niger,NER,2018,60.4,60.29533333333339,0.10466666666660984,0.0014897385568320974
France,FRA,2018,82.4,81.75442356902373,0.645576430976277,0.0014843654378955992
"Korea, Republic of",KOR,2020,82.8,82.60097873015857,0.199021269841424,0.0014730514208340603
Timor-Leste,TLS,2020,68.9,68.7658686868687,0.13413131313130577,0.0014369792916377646
Mexico,MEX,2018,75.9,75.59219878163493,0.30780121836507135,0.001427473928604356
Bahamas,BHS,2019,70.7,71.29934428770977,-0.5993442877097692,0.001426953516881003
Costa Rica,CRI,2019,80.3,79.65613378179556,0.6438662182044368,0.0013961671269647356
Kyrgyzstan,KGZ,2019,73.6,73.18622854409243,0.4137714559075647,0.0013955702626465656
Belize,BLZ,2020,74.7,73.76427869517033,0.93572130482967,0.0013903572881316271
South Sudan,SSD,2021,58.6,59.0642569190069,-0.4642569190068997,0.0013815089393431988
Eritrea,ERI,2018,63.5,63.80126742424248,-0.3012674242424822,0.0013782654139798465
Israel,ISR,2018,82.6,82.22853088578115,0.37146911421884,0.0013773717118462313
