Country,ISO3,proj_le,Scenario
"Moldova, Republic of",MDA,72.99222309492255,optimistic
Mongolia,MNG,72.38113532695377,optimistic
Montenegro,MNE,74.61921702425253,optimistic
Morocco,MAR,73.92188232071584,optimistic
Mozambique,MOZ,61.76733333333338,optimistic
Myanmar,MMR,69.86034843980605,optimistic
Namibia,NAM,60.90899999999999,optimistic
Nauru,NRU,71.74083333333331,optimistic
Nepal,NPL,71.39142174829527,optimistic
Netherlands,NLD,82.02620004717507,optimistic
New Zealand,NZL,81.53858171093027,optimistic
Nicaragua,NIC,72.55548905816403,optimistic
Niger,NER,61.56738888888888,optimistic
Nigeria,NGA,66.17166666666658,optimistic
Niue,NIU,71.6977111111111,optimistic
North Macedonia,MKD,72.22419444444456,optimistic
Norway,NOR,82.26558611111088,optimistic
Oman,OMN,73.31626004112069,optimistic
Pakistan,PAK,66.29729583333331,optimistic
Palau,PLW,70.85769248975399,optimistic
"Palestine, State of",PSE,73.59852266107823,optimistic
Panama,PAN,76.95731996880323,optimistic
Papua New Guinea,PNG,66.24093492063491,optimistic
Paraguay,PRY,70.8066666666667,optimistic
Peru,PER,67.4791666666666,optimistic
Philippines,PHL,65.90614722222229,optimistic
Poland,POL,75.92192711710942,optimistic
Portugal,PRT,81.06250701033858,optimistic
Qatar,QAT,81.21287612942612,optimistic
Romania,ROU,73.23734074324621,optimistic
Russian Federation,RUS,71.11088888888882,optimistic
Rwanda,RWA,69.69753176221062,optimistic
Saint Kitts and Nevis,KNA,71.61778937908494,optimistic
Saint Lucia,LCA,72.23849497320992,optimistic
Saint Vincent and the Grenadines,VCT,71.51899831649837,optimistic
Samoa,WSM,70.78552777777783,optimistic
Sao Tome and Principe,STP,71.61499523809518,optimistic
Saudi Arabia,SAU,77.70454497354496,optimistic
Senegal,SEN,69.25270833333339,optimistic
Serbia,SRB,73.88769788756245,optimistic
Seychelles,SYC,78.86781818181811,optimistic
Sierra Leone,SLE,72.18866360478151,optimistic
Singapore,SGP,82.40811458874465,optimistic
Slovakia,SVK,75.44055510265774,optimistic
Slovenia,SVN,82.26874620009633,optimistic
Solomon Islands,SLB,65.77183333333342,optimistic
Somalia,SOM,58.47733333333345,optimistic
South Africa,ZAF,61.32933333333326,optimistic
South Sudan,SSD,66.99233333333335,optimistic
Spain,ESP,82.33918912938911,optimistic
Sri Lanka,LKA,77.53843939393943,optimistic
Sudan,SDN,68.5195736610466,optimistic
Suriname,SUR,69.74666666666653,optimistic
Sweden,SWE,82.14341025641023,optimistic
Switzerland,CHE,82.69271111111087,optimistic
Syrian Arab Republic,SYR,81.41466666666665,optimistic
Tajikistan,TJK,71.79632781468588,optimistic
"Tanzania, United Republic of",TZA,71.3849222222222,optimistic
Thailand,THA,72.59347087399027,optimistic
Timor-Leste,TLS,70.31043333333338,optimistic
Togo,TGO,71.24753861314672,optimistic
Tonga,TON,72.64263740333763,optimistic
Trinidad and Tobago,TTO,70.28183333333332,optimistic
Tunisia,TUN,73.8900197381423,optimistic
Turkmenistan,TKM,70.87366044634891,optimistic
Tuvalu,TUV,71.65762500000004,optimistic
Uganda,UGA,70.47725555555557,optimistic
Ukraine,UKR,70.7203333333333,optimistic
United Arab Emirates,ARE,82.17955287397804,optimistic
United Kingdom,GBR,79.84039924242431,optimistic
United States,USA,73.88324265873027,optimistic
Uruguay,URY,75.20138601328289,optimistic
Uzbekistan,UZB,81.3521111111111,optimistic
Vanuatu,VUT,66.64700000000005,optimistic
"Venezuela, Bolivarian Republic of",VEN,70.05056113516113,optimistic
Viet Nam,VNM,75.35603368526901,optimistic
Yemen,YEM,65.18830000000008,optimistic
Zambia,ZMB,64.36433333333335,optimistic
Zimbabwe,ZWE,61.448999999999955,optimistic
Afghanistan,AFG,59.54033333333338,pessimistic
Albania,ALB,74.89479393939381,pessimistic
Algeria,DZA,73.39641890791671,pessimistic
Andorra,AND,71.27487083333341,pessimistic
Angola,AGO,61.17660714285714,pessimistic
Antigua and Barbuda,ATG,78.85829695767201,pessimistic
Argentina,ARG,74.17128930067807,pessimistic
Armenia,ARM,69.6479999999999,pessimistic
Australia,AUS,82.3851166666668,pessimistic
Austria,AUT,81.72025952570836,pessimistic
Azerbaijan,AZE,70.5580555555556,pessimistic
Bahamas,BHS,66.60269444444445,pessimistic
Bahrain,BHR,71.18232539682532,pessimistic
Bangladesh,BGD,72.19108407444338,pessimistic
Barbados,BRB,75.60406613756618,pessimistic
Belarus,BLR,73.91204650249004,pessimistic
Belgium,BEL,82.29699707792203,pessimistic
Belize,BLZ,72.65495940878775,pessimistic
Benin,BEN,64.93933333333342,pessimistic
Bhutan,BTN,74.10962464387474,pessimistic
"Bolivia, Plurinational State of",BOL,52.15841000000007,pessimistic
Bosnia and Herzegovina,BIH,75.12329979557474,pessimistic
Botswana,BWA,61.604666666666674,pessimistic
Brazil,BRA,67.82216666666665,pessimistic
Brunei Darussalam,BRN,71.51494871794866,pessimistic
Bulgaria,BGR,68.99133333333333,pessimistic
Burkina Faso,BFA,63.31538281625778,pessimistic
Burundi,BDI,65.85312328042329,pessimistic
Cabo Verde,CPV,72.8243624985882,pessimistic
Cambodia,KHM,70.14367268532683,pessimistic
Cameroon,CMR,64.45010563973072,pessimistic
Canada,CAN,79.59087710691072,pessimistic
Central African Republic,CAF,49.984819999999885,pessimistic
Chad,TCD,59.60635589688088,pessimistic
Chile,CHL,77.69575134680126,pessimistic
China,CHN,79.0126317460318,pessimistic
Colombia,COL,71.95867727272734,pessimistic
Comoros,COM,67.15692517138656,pessimistic
Congo,COG,63.240500000000004,pessimistic
"Congo, The Democratic Republic of the",COD,63.56707763347762,pessimistic
Cook Islands,COK,70.9968531135531,pessimistic
Costa Rica,CRI,73.53134362102409,pessimistic
Croatia,HRV,77.68801706767913,pessimistic
Cuba,CUB,72.73032953593003,pessimistic
Cyprus,CYP,81.44569855607365,pessimistic
Czechia,CZE,77.16505555555558,pessimistic
Côte d'Ivoire,CIV,65.41430038480033,pessimistic
Denmark,DNK,81.60315873015874,pessimistic
Djibouti,DJI,66.46162986087991,pessimistic
Dominica,DMA,68.8303333333334,pessimistic
Dominican Republic,DOM,74.7148868208685,pessimistic
Ecuador,ECU,68.36249999999993,pessimistic
Egypt,EGY,71.67437180744096,pessimistic
El Salvador,SLV,68.71433333333326,pessimistic
Equatorial Guinea,GNQ,60.60332116402117,pessimistic
Eritrea,ERI,64.7133198691173,pessimistic
Estonia,EST,77.97483621933634,pessimistic
Eswatini,SWZ,57.16633333333343,pessimistic
Ethiopia,ETH,68.47499444444456,pessimistic
Fiji,FJI,63.03183333333332,pessimistic
Finland,FIN,81.20194879842384,pessimistic
France,FRA,81.2927500000001,pessimistic
Gabon,GAB,66.12726997354504,pessimistic
Gambia,GMB,64.01257664742667,pessimistic
Georgia,GEO,73.02849256029353,pessimistic
Germany,DEU,81.43611639009141,pessimistic
Ghana,GHA,66.46101646825392,pessimistic
Greece,GRC,79.5555487199194,pessimistic
Grenada,GRD,74.29268649502272,pessimistic
Guatemala,GTM,65.64753245916732,pessimistic
Guinea,GIN,62.213833333333376,pessimistic
Guinea-Bissau,GNB,58.810666666666705,pessimistic
Guyana,GUY,65.60866666666669,pessimistic
Haiti,HTI,62.58759259259263,pessimistic
