Country,MAE_2018_2021
Antigua and Barbuda,1.2049999999999628
Brazil,1.2099999999999973
Luxembourg,1.2190000000000794
Bosnia and Herzegovina,1.2528275000000235
Spain,1.277999999999981
Armenia,1.2860575000000019
Cuba,1.2877500000000275
Oman,1.2972499999999805
El Salvador,1.306750000000008
Tunisia,1.3142500000000155
Kazakhstan,1.3237500000000075
Kenya,1.3324999999999747
Sweden,1.3374999999999417
Nicaragua,1.3397500000000022
Guinea,1.353634999999949
Malawi,1.3614999999999657
Grenada,1.3657499999999985
Ecuador,1.377750000000006
Mongolia,1.399750000000001
Namibia,1.4019425000000219
India,1.4191349999999758
Samoa,1.4727500000000049
Turkmenistan,1.476250000000011
Somalia,1.4932299999999703
"Micronesia, Federated States of",1.5202499999999795
Saint Lucia,1.531499999999987
Côte d'Ivoire,1.5364424999999606
Maldives,1.5394999999999932
Kiribati,1.5467500000000367
Bulgaria,1.61099999999999
Qatar,1.6159999999999997
Lithuania,1.6292499999999883
Timor-Leste,1.6475000000000115
"Moldova, Republic of",1.7012499999999982
Canada,1.7215000000000558
Paraguay,1.745000000000008
Cameroon,1.7814624999999875
Panama,1.799250000000022
Chile,1.8055000000000128
Kuwait,1.8114999999999881
Uruguay,1.812000000000026
Trinidad and Tobago,1.8457500000000273
Botswana,1.867250000000002
Sudan,1.9025000000000034
Palau,1.9039999999999466
Ghana,1.9250749999999783
Andorra,1.959499999999995
Burkina Faso,1.9646350000000297
Azerbaijan,2.0429424999999917
Bahamas,2.056749999999994
Jamaica,2.1147500000000505
Philippines,2.1185824999999596
Ukraine,2.13476999999995
Liberia,2.1373275000000085
Nigeria,2.2737500000000104
Zambia,2.327579999999994
Equatorial Guinea,2.3757499999999894
Comoros,2.4039449999999896
Peru,2.4067499999999704
Bangladesh,2.4587500000000375
"Bolivia, Plurinational State of",2.5080000000000204
Mexico,2.528500000000008
Guatemala,2.5562499999999773
Suriname,2.6096349999999973
United Arab Emirates,2.684749999999969
Uganda,2.764000000000017
Jordan,2.7789999999999893
Russian Federation,2.7879999999999754
China,2.807250000000039
South Africa,2.8121724999999778
Haiti,2.9066949999999867
Togo,2.964907499999965
Gambia,3.2221249999999486
Benin,3.2222124999999533
Burundi,3.4085200000000633
"Congo, The Democratic Republic of the",3.6333274999999787
Myanmar,3.6552699999999927
Viet Nam,3.7264825000000457
Yemen,3.762792500000044
Cabo Verde,3.896232500000007
Sri Lanka,3.920885000000048
Ethiopia,3.9647499999999685
Lao People's Democratic Republic,4.145
Thailand,4.408000000000005
Fiji,4.440249999999978
Guyana,4.498250000000006
Nepal,4.69534749999994
Rwanda,4.773635000000041
Bhutan,4.865249999999996
Madagascar,5.087732499999987
Sao Tome and Principe,5.406544999999994
"Tanzania, United Republic of",5.446137499999963
"Korea, Democratic People's Republic of",5.789482499999977
Cambodia,5.934099999999978
"Venezuela, Bolivarian Republic of",6.046292500000025
Syrian Arab Republic,8.870250000000095
Eswatini,9.394382500000043
