Country,Year,alcohol_per_capita_15plus,che_pct_gdp,dtp3_coverage_pct,gdp_per_capita_2015usd,hepb3_coverage_pct,log_gdp_per_capita_2015usd,overweight_adults_pct,pol3_coverage_pct,thinness_children_adolescents_pct,underweight_adults_pct,pred_life_expectancy
Guinea,2024,0.5800000000000054,3.753999999999941,61.10000000000127,1051.2621439222276,62.70000000000164,6.967154129058585,29.920000000000528,56.00000000000023,8.190000000000033,9.799999999999955,61.083230000000015
Guinea,2025,0.6000000000000085,3.729999999999933,62.800000000001546,1076.9763789603967,64.800000000002,6.995066189784062,30.640000000000555,57.000000000000455,8.220000000000034,9.659999999999911,61.77123000000002
Guinea-Bissau,2022,3.20999999999999,9.117000000000075,66.39999999999873,740.4668150825928,66.39999999999873,6.609709060746312,32.00999999999999,34.09999999999491,7.7,9.880000000000024,57.371230000000004
Guinea-Bissau,2023,3.1999999999999815,9.568000000000211,63.199999999998,753.2808378638911,63.199999999998,6.627928816824856,32.66000000000008,23.999999999992724,7.7,9.800000000000011,56.98469000000001
Guinea-Bissau,2024,3.1899999999999764,10.019000000000347,59.99999999999727,766.0948606451857,59.99999999999727,6.6461485729033996,33.31000000000017,13.899999999990541,7.7,9.719999999999999,56.41692000000001
Guinea-Bissau,2025,3.1799999999999713,10.470000000000368,56.799999999996544,778.908883426484,56.799999999996544,6.6643683289819435,33.960000000000264,3.7999999999883585,7.700000000000001,9.639999999999986,56.060610000000004
Guyana,2022,5.120000000000033,5.163999999999987,99.39999999999986,11323.66528260149,99.39999999999986,9.374526116448521,56.390000000000555,95.49999999999994,7.75,7.16999999999998,73.462
Guyana,2023,5.080000000000041,5.275999999999982,99.99999999999977,12559.598595568445,99.99999999999977,9.529845909006099,57.00000000000068,95.7999999999999,7.780000000000008,7.139999999999972,73.70200000000003
Guyana,2024,5.040000000000049,5.387999999999977,100.0,13795.531908534933,100.0,9.68516570156362,57.61000000000058,96.09999999999997,7.810000000000009,7.109999999999964,73.71600000000004
Guyana,2025,5.000000000000043,5.5,100.0,15031.465221501887,100.0,9.840485494121197,58.22000000000071,96.40000000000003,7.840000000000018,7.079999999999956,74.47800000000002
Haiti,2022,3.1499999999999204,3.5809999999999036,48.5,1262.1045940187469,49.79999999999927,7.143568821943646,29.840000000000146,40.49999999999636,4.180000000000014,12.899999999999999,59.11092000000001
Haiti,2023,3.0399999999999068,3.479999999999876,46.19999999999891,1223.5485733053501,48.19999999999891,7.115395965524762,30.160000000000196,37.59999999999491,4.200000000000017,12.899999999999999,58.64891999999999
Haiti,2024,2.929999999999893,3.3789999999998486,43.89999999999873,1184.9925525919389,46.599999999998545,7.087223109105878,30.480000000000246,34.69999999999345,4.22000000000002,12.9,58.52391999999999
Haiti,2025,2.8199999999998795,3.277999999999821,41.599999999998545,1146.4365318785276,44.99999999999818,7.059050252686987,30.800000000000296,31.799999999991996,4.24000000000003,12.9,58.39791999999999
Honduras,2022,3.1499999999999844,9.967000000000553,74.09999999999673,2326.8891238241304,74.09999999999673,7.751086900574203,63.789999999999964,74.09999999999673,2.7500000000000284,2.9,70.74500000000002
Honduras,2023,3.1399999999999793,10.618000000000848,70.399999999996,2310.8972617889813,70.399999999996,7.744020652449091,64.48000000000002,70.399999999996,2.82000000000005,2.9,70.253
Honduras,2024,3.1299999999999706,11.269000000000915,66.69999999999527,2294.905399753832,66.69999999999527,7.736954404323981,65.1700000000003,66.69999999999527,2.890000000000043,2.9,69.512
Honduras,2025,3.1199999999999655,11.920000000000982,62.99999999999454,2278.913537718683,62.99999999999454,7.7298881561988715,65.86000000000035,62.99999999999454,2.960000000000065,2.9,69.574
Hungary,2022,11.079999999999927,7.3900000000001,99.0,16073.597559684538,0.0,9.687768691566816,62.17000000000007,99.0,3.060000000000059,2.4499999999999957,76.29600000000002
Hungary,2023,10.919999999999902,7.580000000000155,99.0,16497.3912926598,0.0,9.716531749232402,62.640000000000214,99.0,3.1400000000000716,2.4199999999999875,76.38100000000003
Hungary,2024,10.759999999999877,7.770000000000209,99.0,16921.185025635175,0.0,9.74529480689798,63.11000000000024,99.0,3.220000000000084,2.3899999999999864,76.39800000000001
Hungary,2025,10.599999999999852,7.960000000000264,99.0,17344.978758610552,0.0,9.774057864563567,63.58000000000038,99.0,3.300000000000125,2.359999999999978,76.522
Iceland,2022,8.330000000000155,10.157000000000153,94.0,52647.582184181316,0.0,10.871872583035461,57.44000000000017,94.0,2.1300000000000097,1.9300000000000068,81.17400000000004
Iceland,2023,8.52000000000021,10.55800000000022,94.80000000000018,51646.2558561163,0.0,10.8537487574947,57.660000000000196,94.80000000000018,2.180000000000021,1.960000000000015,80.868
Iceland,2024,8.710000000000264,10.959000000000287,95.60000000000014,50644.92952805152,0.0,10.835624931953944,57.88000000000022,95.60000000000014,2.2300000000000324,1.9900000000000233,80.75100000000002
Iceland,2025,8.900000000000318,11.360000000000468,96.40000000000032,49643.60319998651,0.0,10.81750110641319,58.10000000000025,96.40000000000032,2.2800000000000438,2.0200000000000244,80.64200000000001
India,2022,4.379999999999967,3.4780000000001223,84.099999999999,1958.8893819227233,84.099999999999,7.580708495229434,29.500000000000227,83.89999999999918,21.570799999999906,13.730000000000018,68.81400000000002
India,2023,4.279999999999944,3.6080000000001746,82.79999999999882,1986.5260660396598,82.79999999999882,7.595366655970317,30.500000000000455,82.59999999999854,21.499999999999915,12.879999999999882,68.59700000000002
India,2024,4.179999999999922,3.73800000000017,81.49999999999818,2014.1627501566036,81.49999999999818,7.610024816711196,31.500000000000682,81.29999999999836,21.429199999999923,12.029999999999745,68.583
India,2025,4.079999999999899,3.8680000000002224,80.199999999998,2041.79943427354,80.199999999998,7.624682977452075,32.50000000000091,79.99999999999818,21.358399999999904,11.179999999999609,68.246
Indonesia,2022,0.1,3.80700000000013,66.59999999999854,3928.9160418138054,66.59999999999854,8.277696926348984,38.08000000000038,65.49999999999818,9.19999999999996,9.15999999999974,67.89469000000003
Indonesia,2023,0.1,4.024000000000171,62.19999999999891,3992.1625488982245,62.19999999999891,8.294779819540214,39.400000000000546,60.399999999996,9.099999999999937,8.739999999999668,67.33615
Indonesia,2024,0.1,4.241000000000213,57.79999999999745,4055.4090559826436,57.79999999999745,8.31186271273145,40.72000000000071,55.299999999995634,8.999999999999915,8.319999999999595,65.97084
Indonesia,2025,0.1,4.458000000000311,53.399999999996,4118.655563067063,53.399999999996,8.32894560592268,42.04000000000087,50.19999999999345,8.899999999999892,7.8999999999995225,65.09183999999999
"Iran, Islamic Republic of",2022,0.1,3.8619999999996253,98.19999999999987,5126.583236357008,98.19999999999987,8.542351285192325,60.40000000000032,98.19999999999987,10.139999999999986,3.960000000000008,71.43199999999997
"Iran, Islamic Republic of",2023,0.1,3.121999999999616,97.99999999999983,5108.219747703952,97.99999999999983,8.538922525034375,61.000000000000455,97.99999999999983,10.26000000000002,3.839999999999975,71.22399999999998
"Iran, Islamic Republic of",2024,0.1,2.3819999999993797,97.79999999999978,5089.8562590508955,97.79999999999978,8.535493764876424,61.60000000000059,97.79999999999978,10.380000000000024,3.7199999999999704,70.64399999999996
"Iran, Islamic Republic of",2025,0.1,1.6419999999993706,97.59999999999968,5071.492770397839,97.59999999999968,8.532065004718472,62.2000000000005,97.59999999999968,10.500000000000057,3.5999999999999375,70.39699999999998
Iraq,2022,0.54999999999999,5.775000000000205,75.19999999999891,4063.197761424235,75.19999999999891,8.311807001568994,73.25,78.19999999999959,3.4799999999999756,2.6000000000000005,71.71600000000004
Iraq,2023,0.5199999999999889,6.150000000000318,73.39999999999873,3898.9313898251276,73.39999999999873,8.27499232665977,73.7800000000002,77.7999999999995,3.4399999999999693,2.6000000000000005,71.70600000000003
Iraq,2024,0.4899999999999807,6.525000000000318,71.59999999999809,3734.66501822602,71.59999999999809,8.238177651750547,74.31000000000017,77.3999999999993,3.399999999999963,2.6000000000000005,71.628
